AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,Pass9,Score_9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_1_150_4.csv,Y,Yes,1.8487377549918886,N,,,N,,,N,,,N,,,N,,,Y,No,0.723573082606113,N,,,N,,,2,1,0.2222222222222222,0.5
2_20_1_50_4.csv,Y,Yes,2.430076514273753,Y,No,0.3207904659825737,N,,,N,,,N,,,N,,,Y,No,1.0358899144665694,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_4.csv,Y,Yes,1.9472975255878768,N,,,N,,,N,,,N,,,N,,,Y,No,0.7176759533626458,N,,,N,,,2,1,0.2222222222222222,0.5
2_20_1_75_4.csv,Y,Yes,2.723690296989265,Y,No,0.2442103602004182,N,,,N,,,N,,,N,,,Y,No,0.9038508166489931,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_120_1.25_100_4.csv,Y,Yes,2.140977802613597,N,,,Y,Yes,3.6320350949724176,N,,,N,,,Y,Yes,2.834180672765578,Y,Yes,3.456403744991237,N,,,N,,,4,4,0.4444444444444444,1.0
2_120_1.25_125_4.csv,Y,Yes,2.140977802613597,N,,,Y,Yes,3.6320350949724176,N,,,N,,,Y,Yes,2.834180672765578,Y,Yes,3.456403744991237,N,,,N,,,4,4,0.4444444444444444,1.0
2_120_1.25_150_4.csv,Y,Yes,2.140977802613597,N,,,Y,Yes,3.6320350949724176,N,,,N,,,Y,Yes,2.834180672765578,Y,Yes,3.456403744991237,N,,,N,,,4,4,0.4444444444444444,1.0
2_120_1.25_50_4.csv,Y,Yes,2.140977802613597,N,,,Y,Yes,3.6320350949724176,N,,,N,,,Y,Yes,2.834180672765578,Y,Yes,3.456403744991237,N,,,N,,,4,4,0.4444444444444444,1.0
2_120_1.25_75_4.csv,Y,Yes,2.140977802613597,N,,,Y,Yes,3.6320350949724176,N,,,N,,,Y,Yes,2.834180672765578,Y,Yes,3.456403744991237,N,,,N,,,4,4,0.4444444444444444,1.0
2_120_1_100_4.csv,Y,Yes,3.1908798484850984,Y,Yes,2.2918310101305015,Y,Yes,2.581530944070431,N,,,N,,,Y,No,0.6309617439561623,N,,,Y,Yes,1.548946022589105,N,,,5,4,0.5555555555555556,0.8
2_120_1_125_4.csv,Y,Yes,3.1908798484850984,Y,Yes,2.2918310101305015,Y,Yes,2.581530944070431,N,,,N,,,Y,No,0.6309617439561623,N,,,Y,Yes,1.548946022589105,N,,,5,4,0.5555555555555556,0.8
2_120_1_50_4.csv,Y,Yes,3.1613003969465225,Y,Yes,2.281268212215383,Y,Yes,2.581532757582955,N,,,N,,,Y,No,0.7260733210713943,N,,,Y,Yes,1.5686123002147763,N,,,5,4,0.5555555555555556,0.8
2_120_1_75_4.csv,Y,Yes,3.1908798484850984,Y,Yes,2.2918310101305015,Y,Yes,2.581530944070431,N,,,N,,,Y,No,0.6309617439561623,N,,,Y,Yes,1.548946022589105,N,,,5,4,0.5555555555555556,0.8
2_20_1_175_4.csv,Y,Yes,1.7029171771770204,N,,,N,,,N,,,N,,,N,,,Y,No,1.4647218952735306,N,,,N,,,2,1,0.2222222222222222,0.5
2_20_1_200_4.csv,Y,Yes,2.1646046620553245,N,,,N,,,N,,,N,,,N,,,Y,No,1.1004224507041436,N,,,N,,,2,1,0.2222222222222222,0.5
2_120_1_150_4.csv,Y,Yes,3.145007920280209,Y,Yes,2.2918316535156373,Y,Yes,2.5815319218605244,N,,,N,,,Y,No,0.6309617048302812,N,,,Y,Yes,1.5489456142694484,N,,,5,4,0.5555555555555556,0.8
2_120_2_150_8.csv,Y,Yes,2.174008125780586,Y,Yes,2.612060502083363,Y,No,1.104775103663875,N,,,N,,,N,,,Y,No,0.8772350274532088,N,,,N,,,4,2,0.4444444444444444,0.5
2_120_2_175_8.csv,Y,Yes,2.174008125780586,Y,Yes,2.612060502083363,Y,No,1.104775103663875,N,,,N,,,N,,,Y,No,0.8772350274532088,N,,,N,,,4,2,0.4444444444444444,0.5
2_20_1_100_4.csv,Y,Yes,1.7739011410965078,N,,,N,,,N,,,N,,,N,,,Y,No,0.5520435447603862,N,,,N,,,2,1,0.2222222222222222,0.5
2_20_1_150_10.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_12.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_14.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_16.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_18.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_20.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_6.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6748742611388735,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_150_8.csv,Y,Yes,3.480431801081391,Y,No,0.8779273312759232,N,,,N,,,N,,,N,,,Y,No,0.6665233243513353,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_50_10.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_12.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_14.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_16.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_18.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_20.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_4.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_6.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_50_8.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_10.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_12.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_14.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_16.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_18.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_20.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_4.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_6.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_50_8.csv,Y,Yes,5.171880398485182,Y,No,1.2764827254786735,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
2_40_0.75_150_10.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_12.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_14.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_16.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_18.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_20.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,1.1132484036979493,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_40_0.75_150_6.csv,Y,Yes,4.511574501998062,Y,Yes,2.56551090112349,Y,No,1.0263278129508906,N,,,N,,,Y,No,1.017225290702905,N,,,N,,,N,,,4,2,0.4444444444444444,0.5
2_40_0.75_150_8.csv,Y,Yes,4.511574501998062,Y,Yes,2.1642155602119733,N,,,N,,,N,,,N,,,Y,No,0.9285398450050496,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_20_1_50_10.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_12.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_14.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_16.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_18.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_20.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_6.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,0.9688716142177899,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_50_8.csv,Y,Yes,4.397505217564179,Y,No,0.7371574542724423,N,,,N,,,N,,,N,,,Y,No,1.2548947801343955,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_120_1.5_150_4.csv,Y,Yes,1.6459569233461544,N,,,Y,Yes,4.149284786293221,N,,,N,,,Y,Yes,1.524215082057522,Y,No,1.295980964825412,N,,,N,,,4,3,0.4444444444444444,0.75
2_120_1_100_6.csv,Y,Yes,2.634257652341505,Y,Yes,1.8685254672708258,Y,No,1.4562453150256272,N,,,N,,,N,,,Y,No,1.0541976633931265,Y,Yes,1.7756382729947262,N,,,5,3,0.5555555555555556,0.6
2_120_1_125_6.csv,Y,Yes,2.634257652341505,Y,Yes,1.8685254672708258,Y,No,1.4562453150256272,N,,,N,,,N,,,Y,No,1.0541976633931265,Y,Yes,1.7756382729947262,N,,,5,3,0.5555555555555556,0.6
2_120_1_50_6.csv,Y,Yes,2.634257652341505,Y,Yes,1.8685254672708258,Y,No,1.4562453150256272,N,,,N,,,N,,,Y,No,1.2114659708531812,Y,Yes,1.989803516013096,N,,,5,3,0.5555555555555556,0.6
2_120_1_75_6.csv,Y,Yes,2.634257652341505,Y,Yes,1.8685254672708258,Y,No,1.4562453150256272,N,,,N,,,N,,,Y,No,1.0541976633931265,Y,Yes,1.7756382729947262,N,,,5,3,0.5555555555555556,0.6
2_120_2_150_10.csv,Y,Yes,3.2759041597920833,Y,Yes,2.6966462393384765,Y,No,1.3629270759015568,N,,,N,,,N,,,N,,,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
2_120_2_175_10.csv,Y,Yes,3.2759041597920833,Y,Yes,2.6966462393384765,Y,No,1.3629270759015568,N,,,N,,,N,,,N,,,N,,,N,,,3,2,0.3333333333333333,0.6666666666666666
1_20_1_50_10.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_12.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_14.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_16.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_18.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_20.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_4.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_6.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_1_50_8.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_10.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_12.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_14.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_16.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_18.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_20.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_4.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_6.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_1_50_8.csv,Y,Yes,3.5544979524736875,Y,No,1.1705909657061389,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
2_120_2_150_6.csv,Y,No,1.3404723001018632,N,,,Y,No,1.3565503021150103,N,,,N,,,N,,,N,,,N,,,N,,,2,0,0.2222222222222222,0.0
2_120_2_175_6.csv,Y,No,1.3404723001018632,N,,,Y,No,1.3565503021150103,N,,,N,,,N,,,N,,,N,,,N,,,2,0,0.2222222222222222,0.0
2_20_1_225_4.csv,Y,Yes,1.858432507650454,N,,,N,,,N,,,N,,,N,,,Y,No,1.100423367973881,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_150_10.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_12.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_14.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_16.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_18.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_20.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_4.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_6.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_0.75_150_8.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_10.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_12.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_14.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_16.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_18.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_20.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_4.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_6.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
3_20_0.75_150_8.csv,Y,Yes,3.9857510652593082,Y,No,1.0003632163080942,N,,,N,,,N,,,N,,,Y,No,0.6814159914037765,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_10.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_12.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_14.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_16.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_18.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_20.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_6.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6696005813196599,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_125_8.csv,Y,Yes,3.6624099856872814,Y,No,0.8555345716931991,N,,,N,,,N,,,N,,,Y,No,0.6612504102374965,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_10.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_12.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_14.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_16.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_18.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_20.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_6.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.7120131275361108,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
2_20_1_75_8.csv,Y,Yes,5.270576940690419,Y,No,0.6803459082820774,N,,,N,,,N,,,N,,,Y,No,0.9409534677519565,N,,,N,,,3,1,0.3333333333333333,0.3333333333333333
1_20_1_150_10.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_12.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_14.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_16.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_18.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_20.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_4.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_6.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_1_150_8.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_10.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_12.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_14.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_16.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_18.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_20.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_4.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_6.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
3_20_1_150_8.csv,Y,Yes,2.603286965871685,N,,,N,,,N,,,N,,,N,,,N,,,N,,,N,,,1,1,0.1111111111111111,1.0
1_20_0.75_75_10.csv,Y,Yes,4.342307988841448,Y,No,1.0601880230902017,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
