Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Pass9
2_20_1_150_4.csv,0.47997008333333335,0.052462192683795095,Yes,2_40_0.75_50_10.csv,0.4279829918565369,0.09685691619289158,No,2_100_1_225_4.csv,0.4181957845753781,0.042900259214860396,No,2_60_1.75_75_6.csv,0.13493763750709004,-0.04655058647333587,No,2_40_1.25_75_4.csv,0.10429066051835681,0.21434946746985398,No,2_60_1.25_50_6.csv,0.412349313230817,-0.015037426647909396,No,2_120_0.75_225_6.csv,0.36980918748601177,0.06480838216868093,No,2_40_0.75_50_6.csv,0.2558602153636976,-0.012774530467502317,No,1_20_2_200_10.csv,0.13723718655015346,0.0018737892629885943,No
2_20_1_50_4.csv,0.4558052916666667,0.1288716858840866,,2_40_0.75_50_12.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_6.csv,0.403726924053603,0.019696656285887917,,2_60_1.75_125_6.csv,0.13493763346724033,-0.04655062102516571,,,,,,2_60_1.25_75_6.csv,0.412349313230817,-0.015037426647909396,,2_120_0.75_150_6.csv,0.369809072841569,0.08908804456062865,,2_40_0.75_50_4.csv,0.24948326282239655,-0.031913529114939505,,1_20_2_200_12.csv,0.13723718655015346,0.0018737892629885943,
2_20_1_125_4.csv,0.45109541666666664,0.07077524745094936,,2_40_0.75_50_14.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_8.csv,0.403726924053603,0.019696656285887917,,2_60_1.75_100_6.csv,0.13493760405819222,-0.04655057710814219,,,,,,2_40_1_75_4.csv,0.38186016517964294,0.20724021712927215,,2_120_0.75_200_6.csv,0.3698090445764212,0.08908809079093297,,2_40_0.75_50_10.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_14.csv,0.13723718655015346,0.0018737892629885943,
2_20_1_75_4.csv,0.44530979166666673,0.12340100893104555,,2_40_0.75_50_16.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_10.csv,0.40372689675691903,0.01969666555261351,,2_60_1.75_50_6.csv,0.13493760168214908,-0.04655055359898563,,,,,,2_40_1_50_4.csv,0.3519238689780827,0.2844899405444466,,2_120_0.75_100_6.csv,0.3698090429525607,0.08908811874281945,,2_40_0.75_50_12.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_16.csv,0.13723718655015346,0.0018737892629885943,
2_120_1.25_100_4.csv,0.39462933333333333,0.025192321370570897,,2_40_0.75_50_18.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_12.csv,0.40372689675691903,0.01969666555261351,,2_40_2_125_6.csv,0.13157805152374194,-0.07448406422920209,,,,,,2_60_1.25_100_6.csv,0.34750739635399946,-0.015037483323571889,,2_120_0.75_125_6.csv,0.3698090429525607,0.08908811874281945,,2_40_0.75_50_14.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_18.csv,0.13723718655015346,0.0018737892629885943,
2_120_1.25_125_4.csv,0.39462933333333333,0.025192321370570897,,2_40_0.75_50_20.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_14.csv,0.40372689675691903,0.01969666555261351,,2_40_2_125_4.csv,0.11833738612767736,-0.10995743824531207,,,,,,2_40_1_75_6.csv,0.3412071873033094,0.028846883475945634,,2_120_0.75_75_6.csv,0.3698090429525607,0.08908811874281945,,2_40_0.75_50_16.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_20.csv,0.13723718655015346,0.0018737892629885943,
2_120_1.25_150_4.csv,0.39462933333333333,0.025192321370570897,,2_40_0.75_50_8.csv,0.4279829918565369,0.09685691619289158,,2_80_0.75_225_16.csv,0.40372689675691903,0.01969666555261351,,2_40_2_100_6.csv,0.11825254588596204,-0.07483245669940045,,,,,,2_60_1.25_175_6.csv,0.3393670430253641,0.029128019078738444,,2_120_0.75_175_6.csv,0.369809008279128,0.08908813114079699,,2_40_0.75_50_18.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_4.csv,0.13723718655015346,0.0018737892629885943,
2_120_1.25_50_4.csv,0.39462933333333333,0.025192321370570897,,2_40_0.75_75_10.csv,0.4046185213684913,0.02222450982369315,,2_80_0.75_225_18.csv,0.40372689675691903,0.01969666555261351,,2_40_1.5_75_4.csv,0.11516744511502258,-0.04611724598596293,,,,,,2_60_1.25_150_6.csv,0.3393670417500306,0.029128057568905484,,2_120_1.25_200_4.csv,0.34040986962672415,0.08992758085503615,,2_40_0.75_50_20.csv,0.24761068385982204,-0.012774531191878463,,1_20_2_200_6.csv,0.13723718655015346,0.0018737892629885943,
2_120_1.25_75_4.csv,0.39462933333333333,0.025192321370570897,,2_40_0.75_75_12.csv,0.4046185213684913,0.02222450982369315,,2_80_0.75_225_20.csv,0.40372689675691903,0.01969666555261351,,2_40_1.75_50_4.csv,0.11195958437361617,-0.09004827904815815,,,,,,2_60_1.25_125_6.csv,0.338123254652992,0.02912806129831606,,2_120_1.25_225_4.csv,0.3404098029346669,0.08992759215064472,,2_40_0.75_50_8.csv,0.24761061755731628,-0.012774522421092723,,1_20_2_200_8.csv,0.13723718655015346,0.0018737892629885943,
2_120_1_100_4.csv,0.3782526666666666,0.1622398963567143,,2_40_0.75_75_14.csv,0.4046185213684913,0.02222450982369315,,2_80_0.75_225_4.csv,0.4037268803675578,0.020703877413817927,,2_60_1.75_125_4.csv,0.10911283441394481,-0.05950380188225964,,,,,,2_60_1.5_50_6.csv,0.33093259440682743,0.09956203405301489,,2_120_1.25_175_4.csv,0.3404098250583815,0.08992762955132773,,2_40_0.75_75_6.csv,0.22535721943391623,-0.00239454400442946,,3_20_2_200_10.csv,0.13723718655015346,0.0018737892629885943,
2_120_1_125_4.csv,0.3782526666666666,0.1622398963567143,,2_40_0.75_75_16.csv,0.4046185213684913,0.02222450982369315,,1_120_0.75_225_10.csv,0.3997861223937013,-0.017327228510771592,,2_60_1.75_50_4.csv,0.10911281720604696,-0.05950381751957369,,,,,,2_60_1.5_75_6.csv,0.330932482699815,0.09956196578473625,,2_120_1.25_100_4.csv,0.34040980084921785,0.08992763539864812,,2_40_0.75_75_4.csv,0.21931053280670132,-0.02215334493234006,,3_20_2_200_12.csv,0.13723718655015346,0.0018737892629885943,
2_120_1_50_4.csv,0.3782526666666666,0.15909340387372556,,2_40_0.75_75_18.csv,0.4046185213684913,0.02222450982369315,,1_120_0.75_225_12.csv,0.3997861223937013,-0.017327228510771592,,2_60_1.75_75_4.csv,0.1091128170988247,-0.05950381833100343,,,,,,2_60_1.5_225_6.csv,0.3231438231976954,0.1355213637896192,,2_120_1.25_125_4.csv,0.34040980084921785,0.08992763539864812,,2_40_1.5_50_14.csv,0.21864839469915623,-0.026277165559934403,,3_20_2_200_14.csv,0.13723718655015346,0.0018737892629885943,
2_120_1_75_4.csv,0.3782526666666666,0.1622398963567143,,2_40_0.75_75_20.csv,0.4046185213684913,0.02222450982369315,,1_120_0.75_225_14.csv,0.3997861223937013,-0.017327228510771592,,2_60_1.75_100_4.csv,0.10911280047771464,-0.05950380681522148,,,,,,2_40_1_100_4.csv,0.3159239566437688,0.24212716304231016,,2_120_1.25_150_4.csv,0.34040980084921785,0.08992763539864812,,2_40_1.5_50_16.csv,0.21864837787929173,-0.026277184743552194,,3_20_2_200_16.csv,0.13723718655015346,0.0018737892629885943,
2_20_1_175_4.csv,0.37768158333333335,0.052462155329840124,,2_40_0.75_75_8.csv,0.4046185213684913,0.02222450982369315,,1_120_0.75_225_16.csv,0.3997861223937013,-0.017327228510771592,,2_40_1.5_125_4.csv,0.10695325498417665,-0.027936952426128453,,,,,,2_80_0.75_50_4.csv,0.3320629839874647,0.036667764289951894,,2_120_1.25_50_4.csv,0.34040980084921785,0.08992763539864812,,2_40_1.5_50_18.csv,0.21864837787929173,-0.026277184743552194,,3_20_2_200_18.csv,0.13723718655015346,0.0018737892629885943,
