Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
2_20_2_50_4.csv,0.40257059375000004,0.21840684757064532,No,2_40_1_50_4.csv,0.275524871147596,0.04283641399122173,Yes,2_80_0.75_125_10.csv,0.3275662591975854,0.09096143594990073,Yes,2_20_1_75_4.csv,0.5303392838612951,-0.028422799598805712,Yes,2_120_1.5_100_4.csv,0.29590437040372747,0.04263900957141829,Yes,2_100_1.75_175_14.csv,0.32723148291382703,-0.022409978994731388,No,No Plateau,No
2_20_2_75_4.csv,0.3756843125,0.07281749712240068,,2_40_1_50_8.csv,0.2682529381961998,0.1609036457354551,,2_80_0.75_125_12.csv,0.3275662591975854,0.09096143594990073,,2_120_1.75_100_4.csv,0.5226966216582428,0.11216820954971785,,2_120_1.5_125_4.csv,0.29590437040372747,0.04263900957141829,,2_100_1.75_200_18.csv,0.3272314753463324,-0.014766215189630841,,,
2_20_1.75_50_8.csv,0.37450846875,-0.008454973331331028,,2_40_1_50_10.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_125_14.csv,0.3275662591975854,0.09096143594990073,,2_120_1.75_125_4.csv,0.5226966216582428,0.11216820954971785,,2_120_1.5_150_4.csv,0.29590437040372747,0.04263900957141829,,2_100_1.75_125_18.csv,0.3272314693320824,-0.02240998867133637,,,
2_20_1.75_50_10.csv,0.36986184375,-0.00845499993655708,,2_40_1_50_12.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_125_16.csv,0.3275662591975854,0.09096143594990073,,2_120_1.75_150_4.csv,0.5226966216582428,0.11216820954971785,,2_120_1.5_50_4.csv,0.29590437040372747,0.04263900957141829,,2_100_1.75_150_18.csv,0.3272314693320824,-0.02240998867133637,,,
1_20_1.25_50_10.csv,0.3659826875,0.02966267079323836,,2_40_1_50_14.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_125_18.csv,0.3275662591975854,0.09096143594990073,,2_120_1.75_50_4.csv,0.5226966216582428,0.11216820954971785,,2_120_1.5_75_4.csv,0.29590437040372747,0.04263900957141829,,2_100_1.75_200_20.csv,0.3272314693048712,-0.01476620554569738,,,
1_20_1.25_50_12.csv,0.3659826875,0.02966267079323836,,2_40_1_50_16.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_125_20.csv,0.3275662591975854,0.09096143594990073,,2_120_1.75_75_4.csv,0.5226966216582428,0.11216820954971785,,2_120_1.5_225_4.csv,0.29590432802669725,0.042639000364791506,,2_100_1.75_100_18.csv,0.3272314672450872,-0.02240995496256254,,,
1_20_1.25_50_14.csv,0.3659826875,0.02966267079323836,,2_40_1_50_18.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_125_8.csv,0.3275662591975854,0.0965509954987041,,2_120_1.75_225_4.csv,0.5226966206671672,0.11216828538807216,,2_120_1.5_175_4.csv,0.2959043213884753,0.042638948616534667,,2_100_1.75_50_18.csv,0.3272314672450872,-0.02240995496256254,,,
1_20_1.25_50_16.csv,0.3659826875,0.02966267079323836,,2_40_1_50_20.csv,0.26615468708781814,0.15250227742360925,,2_80_0.75_100_10.csv,0.32756614953149854,0.10760469082200308,,2_120_1.75_200_4.csv,0.5226966044508721,0.11216825883467829,,2_120_1.5_200_4.csv,0.2959043213884753,0.042638948616534667,,2_100_1.75_75_18.csv,0.3272314672450872,-0.02240995496256254,,,
1_20_1.25_50_18.csv,0.3659826875,0.02966267079323836,,2_40_1.5_150_6.csv,0.2638972196722796,0.14667756563654744,,2_80_0.75_100_12.csv,0.32756614953149854,0.10760469082200308,,2_120_1.75_175_4.csv,0.5226965662253783,0.11216824688743707,,2_80_1.5_225_6.csv,0.2795650882463997,0.1694664606901767,,2_100_1.75_125_16.csv,0.32723146527319663,-0.022409971593728862,,,
1_20_1.25_50_20.csv,0.3659826875,0.02966267079323836,,2_40_1.5_150_4.csv,0.25701178212095493,0.12391156246350257,,2_80_0.75_100_14.csv,0.32756614953149854,0.10760469082200308,,2_20_1_50_4.csv,0.41482224900305076,-0.030948726211439806,,2_80_1.5_100_6.csv,0.2795650792385753,0.22372040381189823,,2_100_1.75_150_16.csv,0.32723146527319663,-0.022409971593728862,,,
