Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Score_9,Pass9
2_40_1.75_50_6.csv,1.06134025,0.1863574051347618,0.17558686305806437,No,2_100_1_100_4.csv,0.403744727118613,-0.132886417331191,-0.32913474382577224,No,2_20_1.75_200_4.csv,0.12855831861438438,-0.07129063871071287,-0.554539289865418,No,2_20_1_225_4.csv,0.1358025674044172,0.03875152911294244,0.2853519624378028,No,2_20_1.75_75_4.csv,0.2821447183404747,-0.06518540193817363,-0.2310353435697206,No,2_60_1.5_225_6.csv,0.12064818108792455,0.41525606061240206,3.4418758481719394,Yes,2_40_1_75_10.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_50_14.csv,0.7593743847894412,0.03589852609278953,0.04727381751590614,No,2_20_1_200_8.csv,0.11425421557974189,-0.01600494840133896,-0.1400819070012219,No
2_40_1_75_6.csv,1.0523885000000002,-0.01420595355176502,-0.013498773078349884,No,2_100_1_125_4.csv,0.403744727118613,-0.132886417331191,-0.32913474382577224,No,2_20_1.75_225_4.csv,0.12855831450774627,-0.05109262005897454,-0.39742758183015814,No,1_20_1.75_50_10.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_20_1.75_100_4.csv,0.2570801452488384,-0.057736812107227746,-0.22458681922457266,No,2_60_1.5_200_6.csv,0.10767727285946435,0.4152559981441287,3.856486955107998,Yes,2_40_1_75_12.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_75_14.csv,0.7593743847894412,0.03589852609278953,0.04727381751590614,No,2_20_1_200_6.csv,0.1142542128476329,-0.0160048734003781,-0.1400812539115899,No
1_60_1_50_10.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_100_1_50_4.csv,0.403744727118613,-0.132886417331191,-0.32913474382577224,No,2_20_1.75_175_4.csv,0.12663593171506995,-0.04279653151508237,-0.337949355569747,No,1_20_1.75_50_12.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_200_6.csv,0.2211166385316995,-0.03163985259117765,-0.14309123366418097,No,2_60_1.5_175_6.csv,0.10428298930668092,0.35926727020865346,3.445118639168477,Yes,2_40_1_75_14.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_100_10.csv,0.7593743050391246,0.03589858627406986,0.047273901731795215,No,2_20_1_200_10.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_12.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_100_1_75_4.csv,0.403744727118613,-0.132886417331191,-0.32913474382577224,No,2_20_0.75_150_4.csv,0.11241372425883384,-0.14376235045738084,-1.278868317949919,No,1_20_1.75_50_14.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_175_6.csv,0.22111663089834804,-0.0316398506294608,-0.14309122973208788,No,,,,,,2_40_1_75_16.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_100_14.csv,0.759374281609883,0.035898571190185025,0.04727388332678269,No,2_20_1_200_12.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_14.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_1_100_10.csv,0.3746444068810974,-0.10867342123192791,-0.2900708491463429,No,,,,,,1_20_1.75_50_16.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_100_6.csv,0.22111659263360167,-0.03163984698603284,-0.14309123801695528,No,,,,,,2_40_1_75_18.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_125_14.csv,0.7593742774609611,0.035898547869184054,0.047273852874256166,No,2_20_1_200_14.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_16.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_1_125_10.csv,0.3746444068810974,-0.10867342123192791,-0.2900708491463429,No,,,,,,1_20_1.75_50_18.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_125_6.csv,0.22111659263360167,-0.03163984698603284,-0.14309123801695528,No,,,,,,2_40_1_75_20.csv,0.623929135395239,0.4718138818480413,0.7561978678061931,Yes,2_80_1.5_100_12.csv,0.7593742573244668,0.03589853972835715,0.04727384340738635,No,2_20_1_200_16.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_18.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_1_150_10.csv,0.3746444068810974,-0.10867342123192791,-0.2900708491463429,No,,,,,,1_20_1.75_50_20.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_150_6.csv,0.22111659263360167,-0.03163984698603284,-0.14309123801695528,No,,,,,,2_40_1_75_8.csv,0.6239290601528817,0.40771592719807226,0.6534651985887135,Yes,2_80_1.5_50_16.csv,0.7593742570602806,0.03589855291378928,0.047273860787381924,No,2_20_1_200_18.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_20.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_1_50_10.csv,0.3746444068810974,-0.10867342123192791,-0.2900708491463429,No,,,,,,1_20_1.75_50_4.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_75_6.csv,0.22111659263360167,-0.03163984698603284,-0.14309123801695528,No,,,,,,2_40_1_75_4.csv,0.5804668789037419,0.15945987948215418,0.27470969538056483,No,2_80_1.5_75_16.csv,0.7593742570602806,0.03589855291378928,0.047273860787381924,No,2_20_1_200_20.csv,0.11425420348348012,-0.016004925142443407,-0.14008171826043617,No
1_60_1_50_4.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_1_75_10.csv,0.3746444068810974,-0.10867342123192791,-0.2900708491463429,No,,,,,,1_20_1.75_50_6.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_50_6.csv,0.22111657136056595,-0.031639850585177466,-0.1430912680605183,No,,,,,,2_40_0.75_75_10.csv,0.5753236329957181,0.47063891560180293,0.8180420351432108,Yes,2_80_1.5_125_10.csv,0.7593742548920097,0.03589856666107985,0.0472738790258105,No,2_20_1_200_4.csv,0.1142541271759076,-0.016004971604505154,-0.14008221847306773,No
1_60_1_50_6.csv,1.0027554166666666,0.11475013251261273,0.11443481691084964,No,2_120_0.75_100_6.csv,0.3695694108919405,-0.10870023807817888,-0.29412671848526467,No,,,,,,1_20_1.75_50_8.csv,0.13647164245780014,-0.011188952127238331,-0.0819873779323656,No,2_120_1_200_12.csv,0.20070014357954574,-0.03366450539135532,-0.16773533287489995,No,,,,,,2_40_0.75_75_12.csv,0.5753236329957181,0.47063891560180293,0.8180420351432108,Yes,2_80_1.5_50_18.csv,0.7593742270957462,0.03589856571317187,0.04727387950795646,No,2_20_1_175_8.csv,0.10861566638572814,-0.027528278373144054,-0.2534466646402789,No
