Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_20_0.75_100_10.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,No Plateau,No,No Plateau,No,2_120_0.75_225_4.csv,0.20291749901884576,0.493161453537791,0.8960135689235595,Yes,2_100_0.75_175_4.csv,0.5503950662835877,0.007825356567893476,0.04206128282223752,No,2_100_0.75_100_6.csv,0.1860465502435543,0.02652064115477424,0.6494440412456041,Yes,No Plateau,No
2_20_0.75_100_12.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_100_0.75_225_4.csv,0.15302068084679032,0.5503949661014853,0.9999998060601921,Yes,2_100_0.75_100_4.csv,0.5503950728441926,0.11041618997983862,0.5934868979581969,Yes,2_100_0.75_75_6.csv,0.1860465502435543,0.02652064115477424,0.6494440412456041,Yes,,
2_20_0.75_100_14.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_100_0.75_225_6.csv,0.1485002278414028,0.4920354355205141,0.8939677329907332,Yes,2_100_0.75_75_4.csv,0.5503950728441926,0.11041618997983862,0.5934868979581969,Yes,2_100_0.75_50_6.csv,0.1860465444535205,0.02652063204010148,0.6494438180432358,Yes,,
2_20_0.75_100_16.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_120_0.75_225_6.csv,0.14305998275919432,0.27421632102205695,0.49821725257210037,No,2_100_0.75_200_4.csv,0.5503949740354419,0.007825371076966571,0.042061360808489226,No,2_100_0.75_125_6.csv,0.18604653446852826,0.026520639465716787,0.6494439998835461,Yes,,
2_20_0.75_100_18.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_40_1.75_200_6.csv,0.13665378291950306,0.34914375762439387,0.6343511685518273,Yes,2_100_0.75_225_4.csv,0.5503949661014853,0.007825359570024578,0.04206129895868885,No,2_120_0.75_50_6.csv,0.18110451365195057,0.008149621311073352,0.19956994885593032,No,,
2_20_0.75_100_20.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_40_1.75_225_6.csv,0.13665376383665753,0.3805857364927623,0.6914773682938496,Yes,2_100_0.75_125_4.csv,0.5503949381507148,0.11041621386235795,0.5934870263267117,Yes,2_120_0.75_100_6.csv,0.16943204827837743,0.008149626760200696,0.19957008229551282,No,,
2_20_0.75_100_4.csv,0.23562403125000003,0.01629858399712107,0.2527779325705964,No,,,,,2_120_0.75_200_4.csv,0.1080099120899933,0.4931614114523865,0.8960134924595675,Yes,2_100_0.75_150_4.csv,0.5503949173455835,0.026809803138121636,0.14410266195762642,No,2_120_0.75_125_6.csv,0.16943204827837743,0.008149626760200696,0.19957008229551282,No,,
2_20_0.75_100_6.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_100_0.75_225_10.csv,0.10582310757550076,0.4999833188501086,0.9084080572627362,Yes,2_100_1.25_200_12.csv,0.520008521506283,-0.03262105066994839,-0.1753381109580025,No,2_120_0.75_75_6.csv,0.16943204827837743,0.008149626760200696,0.19957008229551282,No,,
2_20_0.75_100_8.csv,0.23562403125000003,-0.0038698633486658595,-0.0600184688914859,No,,,,,2_100_0.75_225_12.csv,0.10582310757550076,0.4999833188501086,0.9084080572627362,Yes,2_100_1.25_200_14.csv,0.520008521506283,-0.025518822196827946,-0.13716364083842783,No,2_120_0.75_150_6.csv,0.16943196458190893,0.00814961030627722,0.199569679367752,No,,
2_20_0.75_150_10.csv,0.2356075625,-0.0339486510848942,-0.5265162811883469,No,,,,,2_100_0.75_225_14.csv,0.10582310757550076,0.4999833188501086,0.9084080572627362,Yes,2_100_1.25_175_12.csv,0.5200084258478401,0.01023695982666469,0.05502364764767975,No,2_60_1.25_125_6.csv,0.13673796680437914,-0.017340118511472675,-0.4246291247653807,No,,
