Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Pass9
2_40_1.75_50_6.csv,1.06134025,0.1863574051347618,No,2_100_1_100_4.csv,0.403744727118613,-0.132886417331191,No,2_20_1.75_200_4.csv,0.12855831861438438,-0.07129063871071287,No,2_20_1_225_4.csv,0.1358025674044172,0.03875152911294244,No,2_20_1.75_75_4.csv,0.2821447183404747,-0.06518540193817363,No,2_60_1.5_225_6.csv,0.12064818108792455,0.41525606061240206,No,2_40_1_75_10.csv,0.623929135395239,0.4718138818480413,Yes,2_80_1.5_50_14.csv,0.7593743847894412,0.03589852609278953,No,2_20_1_200_8.csv,0.11425421557974189,-0.01600494840133896,No
2_40_1_75_6.csv,1.0523885000000002,-0.01420595355176502,,2_100_1_125_4.csv,0.403744727118613,-0.132886417331191,,2_20_1.75_225_4.csv,0.12855831450774627,-0.05109262005897454,,1_20_1.75_50_10.csv,0.13647164245780014,-0.011188952127238331,,2_20_1.75_100_4.csv,0.2570801452488384,-0.057736812107227746,,2_60_1.5_200_6.csv,0.10767727285946435,0.4152559981441287,,2_40_1_75_12.csv,0.623929135395239,0.4718138818480413,,2_80_1.5_75_14.csv,0.7593743847894412,0.03589852609278953,,2_20_1_200_6.csv,0.1142542128476329,-0.0160048734003781,
1_60_1_50_10.csv,1.0027554166666666,0.11475013251261273,,2_100_1_50_4.csv,0.403744727118613,-0.132886417331191,,2_20_1.75_175_4.csv,0.12663593171506995,-0.04279653151508237,,1_20_1.75_50_12.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_200_6.csv,0.2211166385316995,-0.03163985259117765,,2_60_1.5_175_6.csv,0.10428298930668092,0.35926727020865346,,2_40_1_75_14.csv,0.623929135395239,0.4718138818480413,,2_80_1.5_100_10.csv,0.7593743050391246,0.03589858627406986,,2_20_1_200_10.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_12.csv,1.0027554166666666,0.11475013251261273,,2_100_1_75_4.csv,0.403744727118613,-0.132886417331191,,2_20_0.75_150_4.csv,0.11241372425883384,-0.14376235045738084,,1_20_1.75_50_14.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_175_6.csv,0.22111663089834804,-0.0316398506294608,,,,,,2_40_1_75_16.csv,0.623929135395239,0.4718138818480413,,2_80_1.5_100_14.csv,0.759374281609883,0.035898571190185025,,2_20_1_200_12.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_14.csv,1.0027554166666666,0.11475013251261273,,2_120_1_100_10.csv,0.3746444068810974,-0.10867342123192791,,,,,,1_20_1.75_50_16.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_100_6.csv,0.22111659263360167,-0.03163984698603284,,,,,,2_40_1_75_18.csv,0.623929135395239,0.4718138818480413,,2_80_1.5_125_14.csv,0.7593742774609611,0.035898547869184054,,2_20_1_200_14.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_16.csv,1.0027554166666666,0.11475013251261273,,2_120_1_125_10.csv,0.3746444068810974,-0.10867342123192791,,,,,,1_20_1.75_50_18.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_125_6.csv,0.22111659263360167,-0.03163984698603284,,,,,,2_40_1_75_20.csv,0.623929135395239,0.4718138818480413,,2_80_1.5_100_12.csv,0.7593742573244668,0.03589853972835715,,2_20_1_200_16.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_18.csv,1.0027554166666666,0.11475013251261273,,2_120_1_150_10.csv,0.3746444068810974,-0.10867342123192791,,,,,,1_20_1.75_50_20.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_150_6.csv,0.22111659263360167,-0.03163984698603284,,,,,,2_40_1_75_8.csv,0.6239290601528817,0.40771592719807226,,2_80_1.5_50_16.csv,0.7593742570602806,0.03589855291378928,,2_20_1_200_18.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_20.csv,1.0027554166666666,0.11475013251261273,,2_120_1_50_10.csv,0.3746444068810974,-0.10867342123192791,,,,,,1_20_1.75_50_4.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_75_6.csv,0.22111659263360167,-0.03163984698603284,,,,,,2_40_1_75_4.csv,0.5804668789037419,0.15945987948215418,,2_80_1.5_75_16.csv,0.7593742570602806,0.03589855291378928,,2_20_1_200_20.csv,0.11425420348348012,-0.016004925142443407,
1_60_1_50_4.csv,1.0027554166666666,0.11475013251261273,,2_120_1_75_10.csv,0.3746444068810974,-0.10867342123192791,,,,,,1_20_1.75_50_6.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_50_6.csv,0.22111657136056595,-0.031639850585177466,,,,,,2_40_0.75_75_10.csv,0.5753236329957181,0.47063891560180293,,2_80_1.5_125_10.csv,0.7593742548920097,0.03589856666107985,,2_20_1_200_4.csv,0.1142541271759076,-0.016004971604505154,
1_60_1_50_6.csv,1.0027554166666666,0.11475013251261273,,2_120_0.75_100_6.csv,0.3695694108919405,-0.10870023807817888,,,,,,1_20_1.75_50_8.csv,0.13647164245780014,-0.011188952127238331,,2_120_1_200_12.csv,0.20070014357954574,-0.03366450539135532,,,,,,2_40_0.75_75_12.csv,0.5753236329957181,0.47063891560180293,,2_80_1.5_50_18.csv,0.7593742270957462,0.03589856571317187,,2_20_1_175_8.csv,0.10861566638572814,-0.027528278373144054,
