K-bars,Day,action,NetProfit
   1.000,1988/1/5,Waiting,   0.000
   2.000,1988/1/6,Waiting,   0.000
   3.000,1988/1/7,Waiting,   0.000
   4.000,1988/1/8,Waiting,   0.000
   5.000,1988/1/9,Waiting,   0.000
   6.000,1988/1/11,Waiting,   0.000
   7.000,1988/1/12,Waiting,   0.000
   8.000,1988/1/13,Waiting,   0.000
   9.000,1988/1/14,Waiting,   0.000
  10.000,1988/1/15,Waiting,   0.000
  11.000,1988/1/16,Waiting,   0.000
  12.000,1988/1/18,Waiting,   0.000
  13.000,1988/1/19,Waiting,   0.000
  14.000,1988/1/20,Waiting,   0.000
  15.000,1988/1/21,Waiting,   0.000
  16.000,1988/1/22,Waiting,   0.000
  17.000,1988/1/23,Waiting,   0.000
  18.000,1988/1/25,Waiting,   0.000
  19.000,1988/1/26,Waiting,   0.000
  20.000,1988/1/27,Waiting,   0.000
  21.000,1988/1/28,Waiting,   0.000
  22.000,1988/1/29,Waiting,   0.000
  23.000,1988/2/1,Waiting,   0.000
  24.000,1988/2/2,Waiting,   0.000
  25.000,1988/2/3,Waiting,   0.000
  26.000,1988/2/4,Waiting,   0.000
  27.000,1988/2/5,Waiting,   0.000
  28.000,1988/2/6,Waiting,   0.000
  29.000,1988/2/8,Waiting,   0.000
  30.000,1988/2/9,Waiting,   0.000
  31.000,1988/2/10,Waiting,   0.000
  32.000,1988/2/11,Waiting,   0.000
  33.000,1988/2/12,Waiting,   0.000
  34.000,1988/2/22,Waiting,   0.000
  35.000,1988/2/23,Waiting,   0.000
  36.000,1988/2/24,Waiting,   0.000
  37.000,1988/2/25,Waiting,   0.000
  38.000,1988/2/26,Waiting,   0.000
  39.000,1988/2/27,Waiting,   0.000
  40.000,1988/2/29,Waiting,   0.000
  41.000,1988/3/1,Waiting,   0.000
  42.000,1988/3/2,Waiting,   0.000
  43.000,1988/3/3,Waiting,   0.000
  44.000,1988/3/4,Waiting,   0.000
  45.000,1988/3/5,Waiting,   0.000
  46.000,1988/3/7,Waiting,   0.000
  47.000,1988/3/8,Waiting,   0.000
  48.000,1988/3/9,Waiting,   0.000
  49.000,1988/3/10,Waiting,   0.000
  50.000,1988/3/11,Waiting,   0.000
  51.000,1988/3/12,Waiting,   0.000
  52.000,1988/3/14,Waiting,   0.000
  53.000,1988/3/15,Waiting,   0.000
  54.000,1988/3/16,Waiting,   0.000
  55.000,1988/3/17,Waiting,   0.000
  56.000,1988/3/18,Waiting,   0.000
  57.000,1988/3/19,Waiting,   0.000
  58.000,1988/3/21,Waiting,   0.000
  59.000,1988/3/22,Waiting,   0.000
  60.000,1988/3/23,Waiting,   0.000
  61.000,1988/3/24,Waiting,   0.000
  62.000,1988/3/25,Waiting,   0.000
  63.000,1988/3/26,Waiting,   0.000
  64.000,1988/3/28,Waiting,   0.000
  65.000,1988/3/30,Waiting,   0.000
  66.000,1988/3/31,Waiting,   0.000
  67.000,1988/4/1,Waiting,   0.000
  68.000,1988/4/2,Waiting,   0.000
  69.000,1988/4/5,Waiting,   0.000
  70.000,1988/4/6,Waiting,   0.000
  71.000,1988/4/7,Waiting,   0.000
  72.000,1988/4/8,Waiting,   0.000
  73.000,1988/4/9,Waiting,   0.000
  74.000,1988/4/11,Waiting,   0.000
  75.000,1988/4/12,Waiting,   0.000
  76.000,1988/4/13,Waiting,   0.000
  77.000,1988/4/14,Waiting,   0.000
  78.000,1988/4/15,Waiting,   0.000
  79.000,1988/4/16,Waiting,   0.000
  80.000,1988/4/18,Waiting,   0.000
  81.000,1988/4/19,Waiting,   0.000
  82.000,1988/4/20,Waiting,   0.000
  83.000,1988/4/21,Waiting,   0.000
  84.000,1988/4/22,Waiting,   0.000
  85.000,1988/4/23,Waiting,   0.000
  86.000,1988/4/25,Waiting,   0.000
  87.000,1988/4/26,Buy,   0.000
  88.000,1988/4/27,Holding,23578.373
  89.000,1988/4/28,Holding,54091.520
  90.000,1988/4/29,Holding,66574.203
  91.000,1988/4/30,Holding,91539.500
  92.000,1988/5/2,Holding,120665.719
  93.000,1988/5/3,Holding,151178.938
  94.000,1988/5/4,Holding,151178.938
  95.000,1988/5/5,Holding,140083.250
  96.000,1988/5/6,Holding,169209.469
  97.000,1988/5/7,Holding,176144.172
  98.000,1988/5/9,Holding,163661.625
  99.000,1988/5/10,Holding,140083.250
 100.000,1988/5/11,Holding,169209.469
 101.000,1988/5/12,Holding,163661.625
 102.000,1988/5/13,Holding,194174.703
 103.000,1988/5/14,Holding,224687.906
 104.000,1988/5/16,Holding,248266.281
 105.000,1988/5/17,Holding,212205.219
 106.000,1988/5/18,Holding,176144.172
 107.000,1988/5/19,Sell,145631.094
 108.000,1988/5/20,Waiting,145631.094
 109.000,1988/5/21,Waiting,145631.094
 110.000,1988/5/23,Waiting,145631.094
 111.000,1988/5/24,Waiting,145631.094
 112.000,1988/5/25,Waiting,145631.094
 113.000,1988/5/26,Waiting,145631.094
 114.000,1988/5/27,Waiting,145631.094
 115.000,1988/5/28,Waiting,145631.094
 116.000,1988/5/30,Waiting,145631.094
 117.000,1988/5/31,Waiting,145631.094
 118.000,1988/6/1,Waiting,145631.094
 119.000,1988/6/2,Waiting,145631.094
 120.000,1988/6/3,Waiting,145631.094
 121.000,1988/6/4,Waiting,145631.094
 122.000,1988/6/6,Waiting,145631.094
 123.000,1988/6/7,Waiting,145631.094
 124.000,1988/6/8,Waiting,145631.094
 125.000,1988/6/9,Buy,145631.094
 126.000,1988/6/10,Holding,122845.023
 127.000,1988/6/11,Holding,89931.844
 128.000,1988/6/13,Sell,73475.242
 129.000,1988/6/14,Waiting,73475.242
 130.000,1988/6/15,Waiting,73475.242
 131.000,1988/6/16,Buy,73475.242
 132.000,1988/6/17,Sell,100777.539
 133.000,1988/6/20,Buy,100777.539
 134.000,1988/6/21,Sell,78107.141
 135.000,1988/6/22,Waiting,78107.141
 136.000,1988/6/23,Waiting,78107.141
 137.000,1988/6/24,Waiting,78107.141
 138.000,1988/6/25,Waiting,78107.141
 139.000,1988/6/27,Waiting,78107.141
 140.000,1988/6/28,Waiting,78107.141
 141.000,1988/6/29,Waiting,78107.141
 142.000,1988/6/30,Waiting,78107.141
 143.000,1988/7/2,Waiting,78107.141
 144.000,1988/7/4,Waiting,78107.141
 145.000,1988/7/5,Waiting,78107.141
 146.000,1988/7/6,Waiting,78107.141
 147.000,1988/7/7,Waiting,78107.141
 148.000,1988/7/8,Waiting,78107.141
 149.000,1988/7/9,Waiting,78107.141
 150.000,1988/7/11,Waiting,78107.141
 151.000,1988/7/12,Waiting,78107.141
 152.000,1988/7/13,Waiting,78107.141
 153.000,1988/7/14,Waiting,78107.141
 154.000,1988/7/15,Waiting,78107.141
 155.000,1988/7/16,Waiting,78107.141
 156.000,1988/7/18,Waiting,78107.141
 157.000,1988/7/19,Waiting,78107.141
 158.000,1988/7/20,Waiting,78107.141
 159.000,1988/7/21,Waiting,78107.141
 160.000,1988/7/22,Waiting,78107.141
 161.000,1988/7/23,Waiting,78107.141
 162.000,1988/7/25,Waiting,78107.141
 163.000,1988/7/26,Waiting,78107.141
 164.000,1988/7/27,Waiting,78107.141
 165.000,1988/7/28,Waiting,78107.141
 166.000,1988/7/29,Waiting,78107.141
 167.000,1988/7/30,Waiting,78107.141
 168.000,1988/8/1,Waiting,78107.141
 169.000,1988/8/2,Waiting,78107.141
 170.000,1988/8/3,Waiting,78107.141
 171.000,1988/8/4,Buy,78107.141
 172.000,1988/8/5,Holding,108944.117
 173.000,1988/8/6,Holding,139780.969
 174.000,1988/8/8,Holding,171804.016
 175.000,1988/8/9,Holding,202640.984
 176.000,1988/8/10,Holding,170617.938
 177.000,1988/8/11,Holding,137408.969
 178.000,1988/8/12,Holding,170617.938
 179.000,1988/8/13,Holding,154013.406
 180.000,1988/8/15,Holding,186036.438
 181.000,1988/8/16,Holding,219245.422
 182.000,1988/8/17,Holding,251268.453
 183.000,1988/8/18,Holding,284477.438
 184.000,1988/8/19,Holding,322430.563
 185.000,1988/8/20,Holding,360383.813
 186.000,1988/8/22,Holding,398336.938
 187.000,1988/8/23,Holding,436290.063
 188.000,1988/8/24,Holding,475429.250
 189.000,1988/8/25,Holding,518126.625
 190.000,1988/8/26,Holding,475429.250
 191.000,1988/8/27,Holding,431545.938
 192.000,1988/8/29,Holding,398336.938
 193.000,1988/8/30,Holding,360383.813
 194.000,1988/8/31,Sell,398336.938
 195.000,1988/9/1,Buy,398336.938
 196.000,1988/9/2,Holding,436441.906
 197.000,1988/9/3,Holding,478011.031
 198.000,1988/9/5,Holding,520734.781
 199.000,1988/9/6,Holding,563458.500
 200.000,1988/9/7,Holding,600408.750
 201.000,1988/9/8,Holding,551911.500
 202.000,1988/9/9,Holding,510342.500
 203.000,1988/9/10,Holding,510342.500
 204.000,1988/9/12,Holding,551911.500
 205.000,1988/9/13,Holding,590016.563
 206.000,1988/9/14,Holding,631585.625
 207.000,1988/9/15,Holding,674309.375
 208.000,1988/9/16,Holding,717033.125
 209.000,1988/9/17,Holding,727425.375
 210.000,1988/9/19,Holding,727425.375
 211.000,1988/9/20,Holding,770149.125
 212.000,1988/9/21,Holding,790933.688
 213.000,1988/9/22,Holding,844049.688
 214.000,1988/9/23,Holding,897165.750
 215.000,1988/9/24,Holding,950281.625
 216.000,1988/9/29,Holding,897165.750
 217.000,1988/9/30,Holding,844049.688
 218.000,1988/10/1,Holding,790933.688
 219.000,1988/10/3,Sell,737817.625
 220.000,1988/10/4,Waiting,737817.625
 221.000,1988/10/5,Waiting,737817.625
 222.000,1988/10/6,Waiting,737817.625
 223.000,1988/10/7,Waiting,737817.625
 224.000,1988/10/8,Waiting,737817.625
 225.000,1988/10/11,Waiting,737817.625
 226.000,1988/10/12,Waiting,737817.625
 227.000,1988/10/13,Waiting,737817.625
 228.000,1988/10/14,Waiting,737817.625
 229.000,1988/10/15,Waiting,737817.625
 230.000,1988/10/17,Waiting,737817.625
 231.000,1988/10/18,Waiting,737817.625
 232.000,1988/10/19,Waiting,737817.625
 233.000,1988/10/20,Waiting,737817.625
 234.000,1988/10/21,Waiting,737817.625
 235.000,1988/10/22,Waiting,737817.625
 236.000,1988/10/24,Waiting,737817.625
 237.000,1988/10/26,Waiting,737817.625
 238.000,1988/10/27,Waiting,737817.625
 239.000,1988/10/28,Waiting,737817.625
 240.000,1988/10/29,Waiting,737817.625
 241.000,1988/11/1,Waiting,737817.625
 242.000,1988/11/2,Waiting,737817.625
 243.000,1988/11/3,Waiting,737817.625
 244.000,1988/11/4,Waiting,737817.625
 245.000,1988/11/5,Waiting,737817.625
 246.000,1988/11/7,Waiting,737817.625
 247.000,1988/11/8,Waiting,737817.625
 248.000,1988/11/9,Waiting,737817.625
 249.000,1988/11/10,Waiting,737817.625
 250.000,1988/11/11,Waiting,737817.625
 251.000,1988/11/14,Waiting,737817.625
 252.000,1988/11/15,Waiting,737817.625
 253.000,1988/11/16,Waiting,737817.625
