Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,Pass5
2_60_1.25_50_8.csv,0.22791587500000002,0.15318383549102965,Yes,1_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_12.csv,0.11796059714081915,0.28775964302593293,Yes,2_80_0.75_150_4.csv,0.6289575196385612,0.054330829894486156,Yes,No Plateau,No
2_60_1.25_75_8.csv,0.22791587500000002,0.15318383549102965,Yes,1_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_8.csv,0.11796058543980537,0.2877596826580958,Yes,2_80_0.75_175_4.csv,0.6289575195325561,0.040008445685781706,Yes,,
2_60_1.25_150_8.csv,0.17872116259999998,0.15318382812759138,Yes,1_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_10.csv,0.1179605842342072,0.28775968263023877,Yes,2_80_0.75_200_4.csv,0.6289574050185518,0.028000579274197347,Yes,,
2_60_1.25_175_8.csv,0.17872116259999998,0.15318382812759138,Yes,1_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_14.csv,0.11796058267759746,0.2877596984684751,Yes,2_20_0.75_50_10.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.5_50_8.csv,0.17515308759999998,0.19922976766138706,Yes,1_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_16.csv,0.11796058267759746,0.2877596984684751,Yes,2_20_0.75_50_12.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.5_75_8.csv,0.17515308759999998,0.19922976766138706,Yes,1_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_18.csv,0.11796058267759746,0.2877596984684751,Yes,2_20_0.75_50_14.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.25_100_8.csv,0.17442970000000002,0.14060756932476243,Yes,1_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_200_20.csv,0.11796058267759746,0.2877596984684751,Yes,2_20_0.75_50_16.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.25_125_8.csv,0.17442970000000002,0.15318386869417677,Yes,1_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_12.csv,0.1114598249289179,0.27947915695174974,Yes,2_20_0.75_50_18.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.25_50_6.csv,0.17223765,0.2215619510815201,Yes,1_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_8.csv,0.1114597934702631,0.2794791860482641,Yes,2_20_0.75_50_20.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.25_75_6.csv,0.17223765,0.2215619510815201,Yes,3_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_10.csv,0.11145977812201242,0.27947920740600124,Yes,2_20_0.75_50_8.csv,0.5688274421916271,0.018001675838718034,Yes,,
2_60_1.5_175_10.csv,0.1700334,0.17931484022793617,Yes,3_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_14.csv,0.11145977586135834,0.27947920324211334,Yes,2_20_0.75_50_6.csv,0.5688274071973115,0.022713720557822944,Yes,,
2_40_0.75_50_4.csv,0.16710840000000002,0.29013332301848715,Yes,3_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_16.csv,0.11145977586135834,0.27947920324211334,Yes,2_20_0.75_50_4.csv,0.5650885225971132,0.059286312279942854,Yes,,
1_20_2_150_10.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_18.csv,0.11145977586135834,0.27947920324211334,Yes,2_80_0.75_225_4.csv,0.5579039655195913,0.028396439083933384,Yes,,
1_20_2_150_12.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,Yes,2_60_1.25_225_20.csv,0.11145977586135834,0.27947920324211334,Yes,2_20_0.75_75_6.csv,0.5348272339040212,0.023897199573010175,Yes,,
1_20_2_150_14.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,Yes,,,,,2_20_0.75_75_10.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_16.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,Yes,,,,,2_20_0.75_75_12.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_18.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,Yes,,,,,2_20_0.75_75_14.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_20.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,Yes,,,,,2_20_0.75_75_16.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_4.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_10.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_20_0.75_75_18.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_6.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_12.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_20_0.75_75_20.csv,0.5348271780622955,0.01916008260386098,Yes,,
1_20_2_150_8.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_14.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_20_0.75_75_8.csv,0.5348271780622955,0.01916008260386098,Yes,,
3_20_2_150_10.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_16.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_20_0.75_75_4.csv,0.5312535593268147,0.023897187299140053,Yes,,
3_20_2_150_12.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_18.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_200_6.csv,0.5386588224337221,0.028000613434723255,Yes,,
3_20_2_150_14.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_20.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_175_6.csv,0.5386587876126328,0.04000842696415574,Yes,,
3_20_2_150_16.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_6.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_150_6.csv,0.5386587772327204,0.05433079502336942,Yes,,
3_20_2_150_18.csv,0.16627675,0.024743025594717652,Yes,1_60_0.75_50_8.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_125_4.csv,0.5373759709172914,0.044564128031188054,Yes,,
3_20_2_150_20.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_50_10.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_100_4.csv,0.5373759702098395,0.0253083422374418,Yes,,
3_20_2_150_4.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_50_12.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_50_4.csv,0.5373759702098395,0.0253083422374418,Yes,,
3_20_2_150_6.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_50_14.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_80_0.75_75_4.csv,0.5373759702098395,0.0253083422374418,Yes,,
3_20_2_150_8.csv,0.16627675,0.024743025594717652,Yes,3_60_0.75_50_16.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_100_1_150_4.csv,0.5071404095998022,0.02969310573159501,Yes,,
2_60_1.5_50_10.csv,0.1653878876,0.1793148725053687,Yes,3_60_0.75_50_18.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_100_1_125_4.csv,0.5071404119194998,0.026217001189596002,Yes,,
2_60_1.5_75_10.csv,0.1653878876,0.1793148725053687,Yes,3_60_0.75_50_20.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_100_1_100_4.csv,0.5071404024995085,0.00840584430827994,Yes,,
1_20_2_175_10.csv,0.16405015,0.02341523551082179,Yes,3_60_0.75_50_6.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_100_1_50_4.csv,0.5071404024995085,0.00840584430827994,Yes,,
1_20_2_175_12.csv,0.16405015,0.02341523551082179,Yes,3_60_0.75_50_8.csv,0.3713265994426064,-0.0074604960647371,No,,,,,2_100_1_75_4.csv,0.5071404024995085,0.00840584430827994,Yes,,
1_20_2_175_14.csv,0.16405015,0.02341523551082179,Yes,1_60_0.75_50_4.csv,0.37132656346024406,-0.007460471977666186,No,,,,,2_100_1_175_4.csv,0.507140374792705,0.019126423485289493,Yes,,
1_20_2_175_16.csv,0.16405015,0.02341523551082179,Yes,3_60_0.75_50_4.csv,0.37132656346024406,-0.007460471977666186,No,,,,,2_100_1_200_4.csv,0.5071403696342174,0.010647202344880084,Yes,,
1_20_2_175_18.csv,0.16405015,0.02341523551082179,Yes,1_60_0.75_100_10.csv,0.3670033785628013,0.019601739670070204,Yes,,,,,2_100_1_225_4.csv,0.5071402726700911,0.007840889188651728,Yes,,
