Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5
2_20_2_50_6.csv,0.53992365,0.16393038660137432,0.3036177181743647,No,2_60_0.75_100_4.csv,0.29064182306111275,-0.035379864280874494,-0.12173012097242189,No,1_40_0.75_200_10.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_50_6.csv,0.9325758245303228,0.12779950242450822,0.13703926164810504,No,2_60_0.75_100_4.csv,0.20894643032121465,-0.0002719105382971938,-0.0013013409124969688,No
2_20_1.25_50_10.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1.5_125_6.csv,0.27978348406936693,-0.06472866490342355,-0.2313527016032702,No,1_40_0.75_200_12.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_75_6.csv,0.9325758245303228,0.12779950242450822,0.13703926164810504,No,2_60_0.75_50_4.csv,0.19408527481583054,0.01808447272663907,0.09317797418582943,No
2_20_1.25_50_12.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1_100_12.csv,0.2788238248801672,-0.06077627681002702,-0.21797375757307477,No,1_40_0.75_200_14.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_50_8.csv,0.9187966895078234,0.06361619428343743,0.0692385976243722,No,2_60_0.75_75_4.csv,0.1940852445774141,0.0022346410196788,0.011513708960948223,No
2_20_1.25_50_14.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1_100_14.csv,0.2788238248801672,-0.06077627681002702,-0.21797375757307477,No,1_40_0.75_200_16.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_75_8.csv,0.9187966895078234,0.06361619428343743,0.0692385976243722,No,2_60_1.25_50_6.csv,0.18109975257347682,-0.02649884705149016,-0.1463218291297162,No
2_20_1.25_50_16.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1_100_16.csv,0.2788238248801672,-0.06077627681002702,-0.21797375757307477,No,1_40_0.75_200_18.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_60_1_100_4.csv,0.892962602418139,-0.039784453415818,-0.04455332542267937,No,2_60_1.25_75_6.csv,0.18109975257347682,-0.02649884705149016,-0.1463218291297162,No
2_20_1.25_50_18.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1_100_18.csv,0.2788238248801672,-0.06077627681002702,-0.21797375757307477,No,1_40_0.75_200_20.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_60_1_50_4.csv,0.8357812174450145,-0.03916788863853878,-0.04686380576758488,No,2_60_0.75_100_6.csv,0.178395493247769,-0.0007544119538925075,-0.004228873387763915,No
2_20_1.25_50_20.csv,0.5255194999999999,0.15408547943921563,0.29320601697789644,No,2_60_1_100_20.csv,0.2788238248801672,-0.06077627681002702,-0.21797375757307477,No,1_40_0.75_200_6.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_60_1_75_4.csv,0.8357812174450145,-0.03916788863853878,-0.04686380576758488,No,2_60_0.75_50_6.csv,0.16771070473651076,0.01755768258107132,0.10469029158667055,No
2_20_1.5_50_10.csv,0.5214401,0.15553593430695078,0.2982814983100663,No,2_60_1_100_10.csv,0.2788237945884021,-0.06374997326532111,-0.2286389271741618,No,1_40_0.75_200_8.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_50_4.csv,0.8057276980144044,0.11217764261733934,0.13922525301511218,No,2_60_0.75_75_6.csv,0.16771070473651076,0.0017461321230777438,0.010411572271555838,No
2_20_1.5_50_12.csv,0.5214401,0.15553593430695078,0.2982814983100663,No,2_60_1_100_8.csv,0.27882377317087753,-0.06374997283483984,-0.2286389431928768,No,3_40_0.75_200_10.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_0.75_75_4.csv,0.8057276980144044,0.11217764261733934,0.13922525301511218,No,2_100_0.75_150_4.csv,0.1603829556705859,-0.027919893332600615,-0.17408267116579332,No
2_20_1.5_50_14.csv,0.5214401,0.15553593430695078,0.2982814983100663,No,2_60_1.25_125_6.csv,0.2628388087539576,-0.0639976906975701,-0.24348645849128805,No,3_40_0.75_200_12.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_1_100_6.csv,0.7665043644576346,0.029276352947654648,0.03819463307083724,No,2_100_0.75_150_6.csv,0.14894223122749167,-0.017098430824511318,-0.11479907802908823,No
2_20_1.5_50_16.csv,0.5214401,0.15553593430695078,0.2982814983100663,No,2_60_1.5_125_16.csv,0.2560318583049792,-0.08052522263500393,-0.31451251093558896,No,3_40_0.75_200_14.csv,0.22378061051365233,0.2664620121375768,1.1907287746063262,Yes,2_80_1_50_6.csv,0.7665043273206924,0.029276363800205873,0.038194649079857236,No,2_100_0.75_100_4.csv,0.1439425160447054,-0.027919923440650612,-0.19396578723119787,No
